U+1F947.png, 🥇, U+1F947
U+1F948.png, 🥈, U+1F948
U+1F949.png, 🥉, U+1F949
U+1F18E.png, 🆎, U+1F18E
U+1F3E7.png, 🏧, U+1F3E7
U+1F170_U+FE0F.png, 🅰️, U+1F170 U+FE0F
U+1F170.png, 🅰, U+1F170
U+1F1E6_U+1F1EB.png, 🇦🇫, U+1F1E6 U+1F1EB
U+1F1E6_U+1F1F1.png, 🇦🇱, U+1F1E6 U+1F1F1
U+1F1E9_U+1F1FF.png, 🇩🇿, U+1F1E9 U+1F1FF
U+1F1E6_U+1F1F8.png, 🇦🇸, U+1F1E6 U+1F1F8
U+1F1E6_U+1F1E9.png, 🇦🇩, U+1F1E6 U+1F1E9
U+1F1E6_U+1F1F4.png, 🇦🇴, U+1F1E6 U+1F1F4
U+1F1E6_U+1F1EE.png, 🇦🇮, U+1F1E6 U+1F1EE
U+1F1E6_U+1F1F6.png, 🇦🇶, U+1F1E6 U+1F1F6
U+1F1E6_U+1F1EC.png, 🇦🇬, U+1F1E6 U+1F1EC
U+2652.png, ♒, U+2652
U+1F1E6_U+1F1F7.png, 🇦🇷, U+1F1E6 U+1F1F7
U+2648.png, ♈, U+2648
U+1F1E6_U+1F1F2.png, 🇦🇲, U+1F1E6 U+1F1F2
U+1F1E6_U+1F1FC.png, 🇦🇼, U+1F1E6 U+1F1FC
U+1F1E6_U+1F1E8.png, 🇦🇨, U+1F1E6 U+1F1E8
U+1F1E6_U+1F1FA.png, 🇦🇺, U+1F1E6 U+1F1FA
U+1F1E6_U+1F1F9.png, 🇦🇹, U+1F1E6 U+1F1F9
U+1F1E6_U+1F1FF.png, 🇦🇿, U+1F1E6 U+1F1FF
U+1F519.png, 🔙, U+1F519
U+1F171_U+FE0F.png, 🅱️, U+1F171 U+FE0F
U+1F171.png, 🅱, U+1F171
U+1F1E7_U+1F1F8.png, 🇧🇸, U+1F1E7 U+1F1F8
U+1F1E7_U+1F1ED.png, 🇧🇭, U+1F1E7 U+1F1ED
U+1F1E7_U+1F1E9.png, 🇧🇩, U+1F1E7 U+1F1E9
U+1F1E7_U+1F1E7.png, 🇧🇧, U+1F1E7 U+1F1E7
U+1F1E7_U+1F1FE.png, 🇧🇾, U+1F1E7 U+1F1FE
U+1F1E7_U+1F1EA.png, 🇧🇪, U+1F1E7 U+1F1EA
U+1F1E7_U+1F1FF.png, 🇧🇿, U+1F1E7 U+1F1FF
U+1F1E7_U+1F1EF.png, 🇧🇯, U+1F1E7 U+1F1EF
U+1F1E7_U+1F1F2.png, 🇧🇲, U+1F1E7 U+1F1F2
U+1F1E7_U+1F1F9.png, 🇧🇹, U+1F1E7 U+1F1F9
U+1F1E7_U+1F1F4.png, 🇧🇴, U+1F1E7 U+1F1F4
U+1F1E7_U+1F1E6.png, 🇧🇦, U+1F1E7 U+1F1E6
U+1F1E7_U+1F1FC.png, 🇧🇼, U+1F1E7 U+1F1FC
U+1F1E7_U+1F1FB.png, 🇧🇻, U+1F1E7 U+1F1FB
U+1F1E7_U+1F1F7.png, 🇧🇷, U+1F1E7 U+1F1F7
U+1F1EE_U+1F1F4.png, 🇮🇴, U+1F1EE U+1F1F4
U+1F1FB_U+1F1EC.png, 🇻🇬, U+1F1FB U+1F1EC
U+1F1E7_U+1F1F3.png, 🇧🇳, U+1F1E7 U+1F1F3
U+1F1E7_U+1F1EC.png, 🇧🇬, U+1F1E7 U+1F1EC
U+1F1E7_U+1F1EB.png, 🇧🇫, U+1F1E7 U+1F1EB
U+1F1E7_U+1F1EE.png, 🇧🇮, U+1F1E7 U+1F1EE
U+1F191.png, 🆑, U+1F191
U+1F192.png, 🆒, U+1F192
U+1F1F0_U+1F1ED.png, 🇰🇭, U+1F1F0 U+1F1ED
U+1F1E8_U+1F1F2.png, 🇨🇲, U+1F1E8 U+1F1F2
U+1F1E8_U+1F1E6.png, 🇨🇦, U+1F1E8 U+1F1E6
U+1F1EE_U+1F1E8.png, 🇮🇨, U+1F1EE U+1F1E8
U+264B.png, ♋, U+264B
U+1F1E8_U+1F1FB.png, 🇨🇻, U+1F1E8 U+1F1FB
U+2651.png, ♑, U+2651
U+1F1E7_U+1F1F6.png, 🇧🇶, U+1F1E7 U+1F1F6
U+1F1F0_U+1F1FE.png, 🇰🇾, U+1F1F0 U+1F1FE
U+1F1E8_U+1F1EB.png, 🇨🇫, U+1F1E8 U+1F1EB
U+1F1EA_U+1F1E6.png, 🇪🇦, U+1F1EA U+1F1E6
U+1F1F9_U+1F1E9.png, 🇹🇩, U+1F1F9 U+1F1E9
U+1F1E8_U+1F1F1.png, 🇨🇱, U+1F1E8 U+1F1F1
U+1F1E8_U+1F1F3.png, 🇨🇳, U+1F1E8 U+1F1F3
U+1F1E8_U+1F1FD.png, 🇨🇽, U+1F1E8 U+1F1FD
U+1F384.png, 🎄, U+1F384
U+1F1E8_U+1F1F5.png, 🇨🇵, U+1F1E8 U+1F1F5
U+1F1E8_U+1F1E8.png, 🇨🇨, U+1F1E8 U+1F1E8
U+1F1E8_U+1F1F4.png, 🇨🇴, U+1F1E8 U+1F1F4
U+1F1F0_U+1F1F2.png, 🇰🇲, U+1F1F0 U+1F1F2
U+1F1E8_U+1F1EC.png, 🇨🇬, U+1F1E8 U+1F1EC
U+1F1E8_U+1F1E9.png, 🇨🇩, U+1F1E8 U+1F1E9
U+1F1E8_U+1F1F0.png, 🇨🇰, U+1F1E8 U+1F1F0
U+1F1E8_U+1F1F7.png, 🇨🇷, U+1F1E8 U+1F1F7
U+1F1ED_U+1F1F7.png, 🇭🇷, U+1F1ED U+1F1F7
U+1F1E8_U+1F1FA.png, 🇨🇺, U+1F1E8 U+1F1FA
U+1F1E8_U+1F1FC.png, 🇨🇼, U+1F1E8 U+1F1FC
U+1F1E8_U+1F1FE.png, 🇨🇾, U+1F1E8 U+1F1FE
U+1F1E8_U+1F1FF.png, 🇨🇿, U+1F1E8 U+1F1FF
U+1F1E8_U+1F1EE.png, 🇨🇮, U+1F1E8 U+1F1EE
U+1F1E9_U+1F1F0.png, 🇩🇰, U+1F1E9 U+1F1F0
U+1F1E9_U+1F1EC.png, 🇩🇬, U+1F1E9 U+1F1EC
U+1F1E9_U+1F1EF.png, 🇩🇯, U+1F1E9 U+1F1EF
U+1F1E9_U+1F1F2.png, 🇩🇲, U+1F1E9 U+1F1F2
U+1F1E9_U+1F1F4.png, 🇩🇴, U+1F1E9 U+1F1F4
U+1F51A.png, 🔚, U+1F51A
U+1F1EA_U+1F1E8.png, 🇪🇨, U+1F1EA U+1F1E8
U+1F1EA_U+1F1EC.png, 🇪🇬, U+1F1EA U+1F1EC
U+1F1F8_U+1F1FB.png, 🇸🇻, U+1F1F8 U+1F1FB
